INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:52:29,186 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:29,197 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:29,716 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:29,746 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:29,751 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:29,752 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:29,759 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:29,760 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:29,974 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,007 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,012 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,013 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:30,013 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,019 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,150 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,184 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,190 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:30,191 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,191 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,194 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,325 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,354 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,364 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:30,364 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,365 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,368 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,508 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,535 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,535 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,548 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,562 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:30,564 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,689 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,721 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,721 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,725 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:30,726 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,731 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,861 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:30,890 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:30,890 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:30,895 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:30,897 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:52:30,904 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:31,057 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:52:31,087 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:52:31,088 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:52:31,095 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:52:31,097 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:52:31,099 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:53:15,672 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:53:20,326 log "GET /api/auth/me/ HTTP/1.1" 200 115
